County,65+,Perm. Disability,Temp. Disability,Military,Out of County,Out of Country,Out of State,Runoff Ballot,Students on Campus,Work Hours,County Total
Adams,112,19,65,1,70,2,67,0,10,81,427
Alcorn,101,20,89,1,66,3,0,0,5,19,304
Amite,63,0,16,1,38,3,18,0,1,19,159
Attala,43,1,6,1,84,0,5,0,3,1,144
Benton,60,33,29,3,18,0,0,0,2,12,157
Bolivar,75,0,32,0,54,0,1,0,7,10,179
Calhoun,58,4,31,4,32,0,0,0,3,4,136
Carroll,0,3,5,2,64,0,0,0,0,0,74
Chickasaw,76,0,9,2,37,2,0,0,0,2,128
Choctaw,6,2,5,1,10,0,0,0,0,1,25
Claiborne,93,52,30,0,71,2,0,0,2,21,271
Clarke,14,0,6,0,28,0,2,0,3,3,56
Clay,125,16,42,0,48,0,3,0,7,9,250
Copiah,116,0,98,1,56,0,5,0,8,8,292
Covington,67,1,19,0,53,0,0,0,2,6,148
DeSoto,832,1,131,17,601,26,1,0,40,144,1793
Forrest,27,1,10,5,525,2,0,0,0,6,576
Franklin,14,0,15,0,20,1,3,0,1,17,71
George,38,1,21,7,98,1,3,0,3,21,193
Greene,33,4,17,0,131,1,0,0,0,0,186
Grenada,227,11,197,1,93,1,7,0,5,13,555
Hancock,405,0,113,10,136,20,26,0,14,38,762
Harrison,1470,16,716,57,850,44,0,0,52,340,3545
Hinds,1843,4,343,17,568,30,26,1,72,341,3245
Holmes,74,0,4,0,33,0,2,0,4,0,117
Humphreys,43,1,25,1,19,0,2,0,3,16,110
Issaquena,0,0,0,0,4,0,0,0,0,0,4
Itawamba,31,0,37,2,31,2,1,0,4,6,114
Jackson,450,0,193,22,639,26,0,0,14,85,1429
Jasper,1,0,55,0,168,0,0,0,2,5,231
Jefferson,54,23,8,1,44,0,5,0,0,2,137
Jefferson Davis,66,23,29,0,57,2,0,0,0,17,194
Jones,151,0,32,1,88,2,6,0,3,31,314
Kemper,28,0,11,1,21,0,2,0,2,13,78
Lafayette,806,16,128,8,353,24,8,0,1,38,1382
Lamar,197,0,32,14,220,6,6,0,20,29,524
Lauderdale,210,90,233,24,367,0,0,0,17,79,1020
Lawrence,6,0,1,0,45,0,0,0,0,6,58
Leake,74,9,34,1,56,0,3,0,2,19,198
Lee,373,0,171,4,131,13,0,0,26,58,776
Leflore,138,0,44,0,18,0,14,0,6,33,253
Lincoln,107,0,8,3,89,6,0,0,7,34,254
Lowndes,187,1,222,10,92,7,6,0,6,17,548
Madison,830,40,338,14,351,17,3,0,68,127,1788
Marion,121,12,77,3,82,2,11,0,9,17,334
Marshall,130,0,32,1,19,4,17,0,7,19,229
Monroe,135,0,81,4,86,4,0,0,4,16,330
Montgomery,86,4,4,0,68,0,0,0,4,7,173
Neshoba,20,0,26,3,111,1,0,0,2,0,163
Newton,41,4,85,8,34,1,0,0,8,33,214
Noxubee,36,0,12,2,39,0,0,0,1,13,103
Oktibbeha,183,41,21,0,23,0,45,0,4,5,322
Panola,110,0,30,4,57,1,0,0,4,13,219
Pearl River,277,4,51,7,288,6,10,0,2,75,720
Perry,2,19,2,0,76,0,0,0,0,0,99
Pike,482,0,76,1,63,2,55,0,10,28,717
Pontotoc,103,0,93,3,61,0,0,0,3,8,271
Prentiss,39,14,24,3,19,0,0,0,2,4,105
Quitman,48,0,15,2,7,0,1,0,2,4,79
Rankin,1303,0,500,12,402,3,195,0,88,248,2751
Scott,29,12,46,4,52,2,11,0,1,8,165
Sharkey,18,0,24,0,6,0,0,0,1,5,54
Simpson,56,0,43,0,56,0,1,0,1,12,169
Smith,5,0,0,1,55,0,0,0,0,0,61
Stone,6,0,22,1,116,2,0,0,0,3,150
Sunflower,62,0,80,3,38,0,0,0,6,12,201
Tallahatchie,19,0,13,1,56,0,2,0,0,3,94
Tate,84,1,49,5,60,3,1,0,4,10,217
Tippah,38,8,42,0,55,0,1,0,2,11,157
Tishomingo,57,11,5,3,52,0,0,0,1,7,136
Tunica,19,0,3,0,6,0,0,0,0,1,29
Union,89,0,51,0,80,1,0,0,2,1,224
Walthall,37,0,37,0,48,2,0,0,0,4,128
Warren,288,32,113,4,133,4,8,0,13,44,639
Washington,534,0,188,1,203,4,0,0,7,163,1100
Wayne,72,0,37,2,68,1,4,0,7,35,226
Webster,12,6,0,0,16,0,0,0,2,3,39
Wilkinson,9,0,4,0,11,0,2,0,2,6,34
Winston,170,0,65,2,75,2,4,0,7,12,337
Yalobusha,49,0,32,0,52,2,0,0,2,9,146
Yazoo,99,0,31,4,46,0,0,0,6,35,221
