County,65+,Perm. Disability,Temp. Disability,Military,Out of County,Out of Country,Out of State,Runoff Ballot,Students on Campus,Work Hours,County Total
Adams,195,42,169,1,122,4,91,0,14,121,759
Alcorn,165,23,145,4,100,6,2,0,8,27,480
Amite,106,2,33,4,64,3,28,0,3,40,283
Attala,88,1,9,2,138,2,5,0,4,3,252
Benton,93,53,57,3,46,0,0,0,4,16,272
Bolivar,102,0,65,0,96,0,1,0,14,22,300
Calhoun,91,6,51,6,69,0,1,0,7,19,250
Carroll,0,6,35,3,132,0,1,0,0,0,177
Chickasaw,136,0,77,4,69,2,0,0,4,4,296
Choctaw,20,2,19,1,31,0,0,0,4,2,79
Claiborne,140,90,62,0,120,2,0,0,3,34,451
Clarke,61,0,40,0,74,0,2,0,5,11,193
Clay,218,23,98,1,80,1,3,0,7,16,447
Copiah,178,0,201,1,100,1,8,0,12,11,512
Covington,95,1,23,0,97,0,3,0,2,10,231
DeSoto,1390,42,615,25,941,27,8,0,83,242,3373
Forrest,117,9,99,12,802,8,2,0,1,6,1056
Franklin,42,1,47,0,46,2,4,0,5,33,180
George,58,2,61,10,169,2,7,0,5,27,341
Greene,64,4,37,0,198,1,0,0,2,1,307
Grenada,338,15,284,3,160,1,9,0,10,55,875
Hancock,538,0,196,14,226,27,37,0,24,46,1108
Harrison,2069,26,1082,82,1218,54,0,0,83,508,5122
Hinds,2761,5,827,23,903,44,46,3,118,515,5245
Holmes,156,31,51,1,59,0,3,0,5,4,310
Humphreys,60,1,40,1,34,1,3,0,5,23,168
Issaque na,2,0,0,0,11,0,0,0,0,6,19
Itawamba,57,3,67,3,56,3,1,0,7,15,212
Jackson,760,1,523,35,925,36,0,0,40,158,2478
Jasper,1,0,113,0,289,0,5,0,2,7,417
Jefferson,86,38,25,1,77,0,7,0,2,3,239
Jefferson Davis,124,49,54,2,87,3,6,0,3,33,361
Jones,247,0,303,12,150,3,7,0,6,50,778
Kemper,48,0,35,1,30,0,2,0,2,19,137
Lafayette,1135,27,233,9,552,33,21,0,9,66,2085
Lamar,266,2,136,16,296,9,9,0,26,37,797
Lauderdale,308,207,341,30,528,0,0,0,37,122,1573
Lawrence,11,28,5,0,93,0,0,0,0,12,149
Leake,114,14,68,2,96,0,5,0,6,50,355
Lee,607,0,345,6,240,15,0,0,47,106,1366
Leflore,230,0,66,0,34,0,20,0,9,53,412
Lincoln,178,0,56,7,180,7,0,0,22,69,519
Lowndes,319,1,503,23,181,12,12,0,16,37,1104
Ma r ion,174,16,131,3,132,3,13,0,12,29,513
Ma rs ha ll,210,18,176,5,39,4,33,0,11,36,532
Mad ison,1252,71,649,21,568,23,30,0,120,200,2934
Monroe,225,4,179,4,134,5,0,0,10,32,593
Montgomery,138,11,33,0,103,0,0,0,12,13,310
Neshoba,44,1,45,3,215,2,0,0,3,0,313
Newton,65,4,159,12,71,1,2,0,11,60,385
Noxubee,70,0,74,5,45,0,0,0,3,24,221
Oktibbeha,391,101,71,0,48,0,80,0,10,15,716
Panola,239,0,78,4,108,3,2,0,8,28,470
Pearl  River,406,5,205,8,438,11,23,0,8,127,1231
Perry,2,32,9,0,135,0,0,0,0,0,178
Pike,682,0,160,7,122,10,85,0,21,49,1136
Pontotoc,185,0,151,4,99,0,0,0,5,12,456
Prentiss,65,16,62,5,44,0,1,0,5,18,216
Quitman,109,0,28,4,12,0,1,0,3,7,164
Rankin,1925,0,799,43,661,34,292,0,144,412,4310
Scott,42,16,76,5,98,3,18,0,4,15,277
Sharkey,27,0,43,0,17,0,0,0,3,6,96
Simpson,107,0,101,0,112,0,5,0,3,21,349
Smith,50,0,14,1,107,0,2,0,1,0,175
Stone,6,0,74,2,188,4,0,0,1,3,278
Sunflower,113,0,181,5,65,0,0,0,10,20,394
Tallahatchie,41,0,22,1,77,1,4,0,0,6,152
Tate,132,1,122,6,96,4,3,0,14,23,401
Tippah,82,10,107,1,82,0,1,0,5,13,301
Tishomingo,92,28,48,3,90,0,2,0,1,11,275
Tunica,30,0,13,0,11,0,0,0,0,1,55
Union,157,0,117,0,169,1,0,0,3,2,449
Walthall,54,1,89,0,83,2,0,0,0,10,239
Warren,420,66,263,5,234,7,17,0,22,73,1107
Washington,792,0,356,2,295,6,4,0,15,253,1723
Wayne,102,5,103,3,102,3,6,0,13,54,391
Webster,41,13,7,0,35,1,0,0,6,25,128
Wilkinson,15,4,5,0,28,0,2,0,3,8,65
Winston,299,0,118,3,130,2,5,0,14,19,590
Yalobusha,75,0,68,0,85,2,1,0,4,20,255
Yazoo,140,0,76,6,70,0,0,0,9,49,350
